source_path,destination_path,database,module,purpose,classification,execution_status,notes
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V001__create_archive_schema.sql,"",PostgreSQL,Cross-module/platform,V001  create archive schema,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V002__create_load_tracking.sql,"",PostgreSQL,Cross-module/platform,V002  create load tracking,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V003__create_research_records.sql,"",PostgreSQL,Cross-module/platform,V003  create research records,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V004__create_irb_tables.sql,"",PostgreSQL,IRB,V004  create irb tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V005__create_irb_load_procedure.sql,"",PostgreSQL,IRB,V005  create irb load procedure,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V006__create_archive_views.sql,"",PostgreSQL,Cross-module/platform,V006  create archive views,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V007__create_irb_composite_history.sql,"",PostgreSQL,IRB,V007  create irb composite history,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V008__create_irb_composite_stage.sql,"",PostgreSQL,IRB,V008  create irb composite stage,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V009__create_global_search_view.sql,"",PostgreSQL,Cross-module/platform,V009  create global search view,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V010__expand_global_search_to_history.sql,"",PostgreSQL,Cross-module/platform,V010  expand global search to history,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V011__create_award_archive_tables.sql,"",PostgreSQL,Award,V011  create award archive tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V012__allow_multiple_award_rows_per_sequence.sql,"",PostgreSQL,Award,V012  allow multiple award rows per sequence,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V013__add_award_primary_current_flag.sql,"",PostgreSQL,Award,V013  add award primary current flag,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V014__create_award_unit_contact.sql,"",PostgreSQL,Award,V014  create award unit contact,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V015__create_proposal_archive_tables.sql,"",PostgreSQL,Proposal,V015  create proposal archive tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V016__expand_proposal_person.sql,"",PostgreSQL,Proposal,V016  expand proposal person,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V017__create_negotiation_archive_tables.sql,"",PostgreSQL,Negotiation,V017  create negotiation archive tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V018__create_subaward_archive_tables.sql,"",PostgreSQL,Subaward,V018  create subaward archive tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V019__create_subaward_attachment_archive.sql,"",PostgreSQL,Subaward,V019  create subaward attachment archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V020__create_archived_attachment.sql,"",PostgreSQL,Attachments,V020  create archived attachment,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V021__create_protocol_core_archive.sql,"",PostgreSQL,Protocol,V021  create protocol core archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V022__create_protocol_personnel_archive.sql,"",PostgreSQL,Protocol,V022  create protocol personnel archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V023__correct_protocol_person_parent_resolution.sql,"",PostgreSQL,Protocol,V023  correct protocol person parent resolution,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V024__create_protocol_funding_archive.sql,"",PostgreSQL,Protocol,V024  create protocol funding archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V025__create_protocol_research_area_archive.sql,"",PostgreSQL,Protocol,V025  create protocol research area archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V026__create_protocol_location_archive.sql,"",PostgreSQL,Protocol,V026  create protocol location archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
